Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2022-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Numero de caracteres
Nicaragua,NIC,"Población, total",SP.POP.TOTL,1789684,1844630,1901451,1960155,2020941,2084097,2150003,2219001,2291300,2366635,2444767,2525481,2603182,2682747,2769211,2857461,2947454,3038680,3128544,3214311,3303309,3397659,3491906,3584610,3674501,3763034,3852017,3941463,4033291,4129447,4227820,4327289,4427172,4526689,4625260,4721929,4812391,4895962,4974552,5049878,5123222,5192764,5259006,5323062,5386223,5454678,5529811,5607453,5687744,5770639,5855734,5942553,6030607,6119379,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540,7
Países Bajos,NLD,"Población, total",SP.POP.TOTL,11486631,11638712,11805689,11965966,12127120,12294732,12456251,12598201,12729721,12877984,13038526,13194497,13328593,13439322,13545056,13666335,13774037,13856185,13941700,14038270,14149800,14247208,14312690,14367070,14424211,14491632,14572278,14665037,14760094,14848907,14951510,15069798,15184166,15290368,15382838,15459006,15530498,15610650,15707209,15812088,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,8
Noruega,NOR,"Población, total",SP.POP.TOTL,3581239,3609800,3638918,3666537,3694339,3723168,3753012,3784539,3816486,3847707,3875763,3903039,3933004,3960612,3985258,4007313,4026152,4043205,4058671,4072517,4085620,4099702,4114787,4128432,4140099,4152516,4167354,4186905,4209488,4226901,4241473,4261732,4286401,4311991,4336613,4359184,4381336,4405157,4431464,4461913,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,7
Nepal,NPL,"Población, total",SP.POP.TOTL,10167941,10365144,10570716,10782717,11002819,11232951,11470199,11715579,11970411,12231874,12501285,12774870,13052220,13335963,13626301,13925541,14230738,14550430,14888770,15238564,15600442,15969792,16347124,16740664,17141610,17540571,17936926,18326204,18720745,19145077,19616530,20130779,20702133,21267359,21794751,22305571,22783969,23249417,23703328,24143157,24559500,24956071,25332178,25682908,26003965,26285110,26518971,26713655,26881544,27026941,27161567,27266399,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,8
Nueva Zelandia,NZL,"Población, total",SP.POP.TOTL,2371800,2419700,2482000,2531800,2585400,2628400,2675900,2724100,2748100,2772800,2810700,2853000,2903900,2961300,3023700,3083100,3110500,3120200,3121200,3109000,3112900,3124900,3156100,3199300,3227100,3247100,3246300,3274400,3283400,3299200,3329800,3495100,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5122600,7
Omán,OMN,"Población, total",SP.POP.TOTL,536553,546443,557139,568603,580824,593808,607538,622042,637379,653593,670693,688803,708045,728597,754676,787194,824081,866124,912750,963351,1017462,1075624,1138301,1204626,1273306,1353289,1443446,1533351,1623433,1713838,1804524,1895187,1985227,2071868,2133675,2172672,2209958,2245588,2279727,2312600,2344253,2374653,2403659,2431600,2468855,2515192,2560649,2605700,2651028,2697537,2881914,3206870,3535579,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471,7
Pakistán,PAK,"Población, total",SP.POP.TOTL,45954226,47060915,48161841,49325050,50552592,51841626,53199414,54629793,56124743,57676805,59290872,60878781,62509565,64285624,66149169,68126999,70230923,72451105,74789330,77407341,80624057,84270202,87828198,91080372,94003867,97121552,100618523,104251093,107967838,111670386,115414069,119203569,122375179,125546615,129245139,133117476,137234810,141330267,145476106,149694462,154369924,159217727,163262807,166876680,170648620,174372098,178069984,181924521,185931955,190123222,194454498,198602738,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,9
Panamá,PAN,"Población, total",SP.POP.TOTL,1126989,1160832,1196289,1233267,1271461,1310556,1350462,1391072,1432255,1473965,1516188,1559072,1602646,1646580,1690676,1734876,1779037,1823146,1867313,1911814,1956987,2003092,2050247,2098499,2147577,2197065,2246960,2297231,2347821,2398535,2449968,2502044,2554382,2607499,2661385,2716067,2771606,2827992,2885177,2943120,3001731,3061024,3120990,3181608,3243311,3305868,3368573,3431614,3495276,3559343,3623617,3688674,3754862,3821556,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267,7
Perú,PER,"Población, total",SP.POP.TOTL,10172207,10478096,10792094,11112665,11442301,11781581,12127990,12481626,12843249,13213739,13562371,13911968,14292437,14674785,15057175,15441497,15826813,16224613,16638480,17059185,17492406,17932344,18374372,18826906,19285646,19746610,20208437,20671360,21143799,21624311,22109099,22583006,23047248,23513882,23983258,24449055,24907304,25365386,25818226,26252239,26654439,27014909,27334503,27623341,27893911,28147267,28381078,28600387,28806185,29009326,29229572,29477721,29749589,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,8
Filipinas,PHL,"Población, total",SP.POP.TOTL,28486871,29342411,30185979,31043711,31916622,32805538,33704749,34616857,35544973,36477170,37435586,38421746,39412479,40406234,41388324,42394433,43474370,44646518,45890739,47154232,48419546,49679330,50938522,52219685,53514959,54812660,56109838,57415175,58755923,60127343,61558898,63039751,64543525,66083321,67650283,69250468,70944969,72718837,74491918,76249064,77958223,79626086,81285572,82942837,84607501,86261250,87901835,89561377,91252326,92946951,94636700,96337913,98032317,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,9
